LluviaDiariaSantaFe,LluviaDiariaBuenosAires,LluviaDiariaCordoba,CotizacionDolar,PrecioPromedioDiarioSojaUSD,SuperficieSembradaSojaSantaFe,SuperficieSembradaSojaBuenosAires,SuperficieSembradaSojaCordoba,SuperficieCosechadaSojaSantaFe,SuperficieCosechadaSojaBuenosAires,SuperficieCosechadaSojaCordoba,ProduccionSojaSantaFe,ProduccionSojaBuenosAires,ProduccionSojaCordoba,RendimientoSojaSantaFe,RendimientoSojaBuenosAires,RendimientoSojaCordoba,PromedioIncendiosMensualesSantaFe,PromedioIncendiosMensualesBuenosAires,PromedioIncendioMensualesCordoba,VariacionSojaDiaAnterior,VariacionSojaTresDia,VariacionSojaSieteDias,LluviaAcumuladaSieteDiasSantaFe,LluviaDiariaAcumuladaSieteDiasBuenosAires,LluviaDiariaAcumuladaSieteDiasCordoba,LluviaDiariaAcumuladaSieteDiasSantaFe,LluviaDiariaAcumuladaSieteDiasBuenosAires,LluviaDiariaAcumuladaSieteDiasCordoba,LluviaDiariaAcumuladaTreintaDiasSantaFe,LluviaDiariaAcumuladaTreintaDiasBuenosAires,LluviaDiariaAcumuladaTreintaDiasCordoba,LluviaDiariaAcumuladaCuarentaCincoDiasSantaFe,LluviaDiariaAcumuladaCuarentaCincoDiasBuenosAires,LluviaDiariaAcumuladaCuarentaCincoDiasCordoba,LluviaDiariaAcumuladaSesentaDiasSantaFe,LluviaDiariaAcumuladaSesentaDiasBuenosAires,LluviaDiariaAcumuladaSesentaDiasCordoba,PrecioPromedioTreintaDiasSoja,PrecioPromedioSesentaDiasSoja,PrecioPromedioNoventaDiasSoja,PrecioRealDiaSiguiente,
0,0,0,1,180.2,2873.55,4705.55,2729,2863.4,5240.66,2707.4,5167.5,6274.6,5687,41.002,159.223,54.338,54,291,72,0.0011,-0.0055,-0.0137,15.3,30.2,0,15.3,30.2,0,100.4,108.3,0,139.3,139.3,0,166.9,191.3,0,185.7333,185.1634,185.1634,184.5,4.3
0,0,2,1,180.3,2873.55,4705.55,2729,2863.4,5240.66,2707.4,5167.5,6274.6,5687,41.002,159.223,54.338,54,291,72,0.0005,-0.0001,-0.0094,15.3,30.2,0,15.3,30.2,0,100.4,108.3,0,139.3,139.3,0,166.9,191.3,0,185.4818,185.0452,185.0452,184.1,3.8
0,0,0,1,180.1,2873.55,4705.55,2729,2863.4,5240.66,2707.4,5167.5,6274.6,5687,41.002,159.223,54.338,54,291,72,-0.0011,-0.0003,-0.0084,15.3,32.2,0,15.3,32.2,0,100.4,110.3,0,124.8,137.8,0,166.9,193.3,0,185.1272,184.9348,184.9348,183.1,3
0,0,2.5,1,181,2873.55,4705.55,2729,2863.4,5240.66,2707.4,5167.5,6274.6,5687,41.002,159.223,54.338,54,291,72,0.0049,0.0044,0.0006,13.9,31.5,0,13.9,31.5,0,100.4,110.3,0,124.8,137.8,0,166.9,193.3,0,184.6727,184.825,184.825,183.1,2.1
0,0,0,1,182.3,2873.55,4705.55,2729,2863.4,5240.66,2707.4,5167.5,6274.6,5687,41.002,159.223,54.338,54,291,72,0.0071,0.0101,0.0086,4.5,8,0,4.5,8,0,92.5,106.3,0,129.3,143.8,0,171.4,199.3,0,183.815,185.2071,184.74,178.5,3.8
0,0,0,1,184.5,2873.55,4705.55,2729,2863.4,5240.66,2707.4,5167.5,6274.6,5687,41.002,159.223,54.338,54,291,72,0.012,0.0185,0.0211,4.5,8,0,4.5,8,0,92.5,106.3,0,113.5,143.8,0,171.4,199.3,0,183.7428,185.2404,184.6869,177,7.5
0,0,0,1,184.1,2873.55,4705.55,2729,2863.4,5240.66,2707.4,5167.5,6274.6,5687,41.002,159.223,54.338,54,291,72,-0.0021,0.0082,0.016,4.5,8,0,4.5,8,0,92.5,106.3,0,113.4,143.8,0,171.4,199.3,0,183.7772,185.2976,184.6829,174.8,9.3
0,0,0,1,183.1,2873.55,4705.55,2729,2863.4,5240.66,2707.4,5167.5,6274.6,5687,41.002,159.223,54.338,54,291,72,-0.0054,-0.0029,0.0072,4.5,6,0,4.5,6,0,87.5,106.3,0,112,117.3,0,171.4,199.3,0,183.5545,185.2697,184.6708,175.7,7.4
0,0,0,1,183.1,2873.55,4705.55,2729,2863.4,5240.66,2707.4,5167.5,6274.6,5687,41.002,159.223,54.338,54,291,72,0,-0.0043,0.0049,4.5,6,0,4.5,6,0,80,106.3,0,105,116.3,0,171.4,184.3,0,183.3818,185.2204,184.6387,178.9,4.2
0,0,0,1,178.5,2873.55,4705.55,2729,2863.4,5240.66,2707.4,5167.5,6274.6,5687,41.002,159.223,54.338,54,291,72,-0.0251,-0.0268,-0.0224,1.4,0.7,0,1.4,0.7,0,45.6,39,0,106.4,117,0,157.4,149,0,183.26,185.4142,184.608,175.1,3.4
0,0,0,1,177,2873.55,4705.55,2729,2863.4,5240.66,2707.4,5167.5,6274.6,5687,41.002,159.223,54.338,54,291,72,-0.0084,-0.0251,-0.0294,1.4,0.7,0,1.4,0.7,0,39.6,38.9,0,106.4,117,0,156.3,149,0,183.0333,185.2666,184.4882,171.9,5.1
0,0,0,1,174.8,2873.55,4705.55,2729,2863.4,5240.66,2707.4,5167.5,6274.6,5687,41.002,159.223,54.338,54,291,72,-0.0124,-0.0263,-0.0385,1.4,0.7,0,1.4,0.7,0,30.7,38.9,0,106.3,117,0,145.2,148,0,182.759,185.0309,184.3442,172,2.8
48.4,0,9.5,1,175.7,2873.55,4705.55,2729,2863.4,5240.66,2707.4,5167.5,6274.6,5687,41.002,159.223,54.338,54,291,72,0.0051,-0.006,-0.0278,1.4,0.7,0,1.4,0.7,0,30.7,38.9,0,106.3,117,0,145.2,148,0,182.2545,184.793,184.1641,169.2,6.5
0,0,0,1,178.9,2873.55,4705.55,2729,2863.4,5240.66,2707.4,5167.5,6274.6,5687,41.002,159.223,54.338,54,291,72,0.0182,0.0174,-0.0031,49.8,10.2,0,49.8,10.2,0,79.1,48.4,0,154.7,126.5,0,179.1,154,0,181.7272,184.5863,184.0074,172.1,6.8
0,0,0.5,1,175.1,2873.55,4705.55,2729,2863.4,5240.66,2707.4,5167.5,6274.6,5687,41.002,159.223,54.338,54,291,72,-0.0212,-0.0077,-0.0203,48.4,9.5,0,48.4,9.5,0,79.1,48.4,0,142.3,116.5,0,179.1,154,0,180.88,184.4785,183.9145,172,3.1
0,0,0,1,171.9,2873.55,4705.55,2729,2863.4,5240.66,2707.4,5167.5,6274.6,5687,41.002,159.223,54.338,54,291,72,-0.0182,-0.0264,-0.032,48.4,10,0,48.4,10,0,72.1,48.9,0,142.3,117,0,179.1,154.5,0,180.6047,184.1738,183.7571,170,1.9
0,0,0,1,172,2873.55,4705.55,2729,2863.4,5240.66,2707.4,5167.5,6274.6,5687,41.002,159.223,54.338,54,291,72,0.0005,-0.0188,-0.0226,48.4,10,0,48.4,10,0,71.1,48.9,0,142.3,117,0,163.3,154.5,0,180.209,183.7666,183.5491,170,2
0,0,6.5,1,169.2,2873.55,4705.55,2729,2863.4,5240.66,2707.4,5167.5,6274.6,5687,41.002,159.223,54.338,54,291,72,-0.0162,-0.0219,-0.0334,48.4,10,0,48.4,10,0,69.6,48.9,0,142.3,117,0,163.2,154.5,0,179.709,183.493,183.35,171.8,2.6
0,0,0,1,172.1,2873.55,4705.55,2729,2863.4,5240.66,2707.4,5167.5,6274.6,5687,41.002,159.223,54.338,54,291,72,0.0171,0.0062,-0.0105,0,7,0,0,7,0,69.6,55.4,0,137.3,123.5,0,161.8,134.5,0,178.9727,183.1681,183.1101,175,2.9
2.5,0,0,1,172,2873.55,4705.55,2729,2863.4,5240.66,2707.4,5167.5,6274.6,5687,41.002,159.223,54.338,54,291,72,-0.0005,0.0052,-0.0089,59.2,41,0,59.2,41,0,125.4,88.7,0,186.4,108.5,0,214,167.5,0,178.195,182.488,182.9266,176.4,4.4
0,0,0,1,170,2873.55,4705.55,2729,2863.4,5240.66,2707.4,5167.5,6274.6,5687,41.002,159.223,54.338,54,291,72,-0.0116,-0.0064,-0.0175,61.7,40.5,0,61.7,40.5,0,127.9,62.7,0,155.7,89.5,0,216.5,167.5,0,177.9,182.0571,182.7475,174.7,4.7
0,0,0,1,170,2873.55,4705.55,2729,2863.4,5240.66,2707.4,5167.5,6274.6,5687,41.002,159.223,54.338,54,291,72,0,-0.0079,-0.0102,61.7,40.5,0,61.7,40.5,0,116,59.2,0,149.7,89.4,0,216.5,167.5,0,177.5409,181.5785,182.5419,174.8,4.8
0,0,0,1,171.8,2873.55,4705.55,2729,2863.4,5240.66,2707.4,5167.5,6274.6,5687,41.002,159.223,54.338,54,291,72,0.0105,0.0066,0.0045,61.7,40.5,0,61.7,40.5,0,116,59.2,0,140.8,89.4,0,216.4,167.5,0,177.0863,181.3093,182.3428,172.9,1.1
0,0,0,1,175,2873.55,4705.55,2729,2863.4,5240.66,2707.4,5167.5,6274.6,5687,41.002,159.223,54.338,54,291,72,0.0186,0.0257,0.0233,61.7,34,0,61.7,34,0,116,59.2,0,140.8,89.4,0,216.4,167.5,0,176.7045,181.0931,182.1781,174.6,0.4
20.6,0,25,1,176.4,2873.55,4705.55,2729,2863.4,5240.66,2707.4,5167.5,6274.6,5687,41.002,159.223,54.338,54,291,72,0.008,0.0239,0.0289,2.5,0.8,0,2.5,0.8,0,116,55.5,0,140.8,90.2,0,204,158.3,0,176.055,180.3428,182.1609,173.5,2.9
5.5,0,0,1,174.7,2873.55,4705.55,2729,2863.4,5240.66,2707.4,5167.5,6274.6,5687,41.002,159.223,54.338,54,291,72,-0.0096,0.0017,0.0129,20.6,25.8,0,20.6,25.8,0,132.1,77,0,161.4,115.2,0,224.6,183.3,0,176.0714,180.0666,182.1281,173.7,1
0,0,2.5,1,174.8,2873.55,4705.55,2729,2863.4,5240.66,2707.4,5167.5,6274.6,5687,41.002,159.223,54.338,54,291,72,0.0005,-0.0032,0.0113,26.1,25.8,0,26.1,25.8,0,137.6,77,0,159.9,115.2,0,230.1,183.3,0,176.009,179.7261,182.0453,174.8,0
98.7,0,38.5,1,172.9,2873.55,4705.55,2729,2863.4,5240.66,2707.4,5167.5,6274.6,5687,41.002,159.223,54.338,54,291,72,-0.0108,-0.0136,-0.0019,26.1,28.3,0,26.1,28.3,0,137.6,79.5,0,158.9,117.7,0,230.1,185.8,0,175.6681,179.6116,181.95,175.3,2.4
